ticker,marketCap,averageVolume,averageVolume10days,quoteType,exchange,sector,longName,avg_vol_used
AAPL,3659195744256,45621310,36372450,EQUITY,NMS,Technology,Apple Inc.,36372450
MSFT,2891343462400,33424477,29145800,EQUITY,NMS,Technology,Microsoft Corporation,29145800
NVDA,4339900874752,173089045,176265350,EQUITY,NMS,Technology,NVIDIA Corporation,176265350
AMZN,2241021870080,48235633,44165450,EQUITY,NMS,Consumer Cyclical,"Amazon.com, Inc.",44165450
GOOGL,3715351707648,32353422,25211280,EQUITY,NMS,Communication Services,Alphabet Inc.,25211280
META,1534681284608,14268874,12661210,EQUITY,NMS,Communication Services,"Meta Platforms, Inc.",12661210
BRK-B,1038713552896,4715137,4807570,EQUITY,NYQ,Financial Services,Berkshire Hathaway Inc.,4807570
JPM,776664449024,10601479,10703890,EQUITY,NYQ,Financial Services,JPMorgan Chase & Co.,10703890
LLY,821179711488,3029423,2800620,EQUITY,NYQ,Healthcare,Eli Lilly and Company,2800620
AVGO,1516448907264,26067433,33802830,EQUITY,NMS,Technology,Broadcom Inc.,33802830
XOM,659015335936,20130618,21639640,EQUITY,NYQ,Energy,Exxon Mobil Corporation,21639640
UNH,254548606976,8959676,6591800,EQUITY,NYQ,Healthcare,UnitedHealth Group Incorporated,6591800
V,577852735488,7533084,6753050,EQUITY,NYQ,Financial Services,Visa Inc.,6753050
MA,438311878656,3712901,3118690,EQUITY,NYQ,Financial Services,Mastercard Incorporated,3118690
COST,432675028992,2257618,1772410,EQUITY,NMS,Consumer Defensive,Costco Wholesale Corporation,1772410
PG,338452447232,10618549,8629420,EQUITY,NYQ,Consumer Defensive,The Procter & Gamble Company,8629420
JNJ,572592029696,8479050,7433680,EQUITY,NYQ,Healthcare,Johnson & Johnson,7433680
HD,326736805888,4014959,3661520,EQUITY,NYQ,Consumer Cyclical,"The Home Depot, Inc.",3661520
ABBV,364649480192,6608562,6552210,EQUITY,NYQ,Healthcare,AbbVie Inc.,6552210
BAC,343290314752,39984696,45686240,EQUITY,NYQ,Financial Services,Bank of America Corporation,45686240
KO,324986568704,17517881,15463910,EQUITY,NYQ,Consumer Defensive,The Coca-Cola Company,15463910
PEP,208847536128,7873415,5511430,EQUITY,NMS,Consumer Defensive,"PepsiCo, Inc.",5511430
MRK,282347143168,11765294,9108090,EQUITY,NYQ,Healthcare,"Merck & Co., Inc.",9108090
WMT,965378244608,30487337,20354270,EQUITY,NMS,Consumer Defensive,Walmart Inc.,20354270
CVX,402749784064,11655357,14617540,EQUITY,NYQ,Energy,Chevron Corporation,14617540
ADBE,100978900992,5561133,7854940,EQUITY,NMS,Technology,Adobe Inc.,7854940
NFLX,389150932992,47824276,37150660,EQUITY,NMS,Communication Services,"Netflix, Inc.",37150660
CRM,182705635328,11699288,13696890,EQUITY,NYQ,Technology,"Salesforce, Inc.",13696890
AMD,334674460672,35864076,29909010,EQUITY,NMS,Technology,"Advanced Micro Devices, Inc.",29909010
TMO,174675607552,2296149,2436860,EQUITY,NYQ,Healthcare,Thermo Fisher Scientific Inc.,2436860
CROX,4012561152,1275855,1295940,EQUITY,NMS,Consumer Cyclical,"Crocs, Inc.",1295940
AAON,6534806528,953371,847580,EQUITY,NMS,Industrials,"AAON, Inc.",847580
UFPI,5024518656,349447,318260,EQUITY,NMS,Basic Materials,"UFP Industries, Inc.",318260
FIVE,12971291648,1017033,1069430,EQUITY,NMS,Consumer Cyclical,"Five Below, Inc.",1069430
MTH,4238483712,951900,1011230,EQUITY,NYQ,Consumer Cyclical,Meritage Homes Corporation,1011230
SIGI,4453964288,525794,555920,EQUITY,NMS,Financial Services,"Selective Insurance Group, Inc.",555920
GBCI,5582913024,1040964,1127570,EQUITY,NYQ,Financial Services,"Glacier Bancorp, Inc.",1127570
BANF,3495399168,124128,147040,EQUITY,NMS,Financial Services,BancFirst Corporation,147040
INDB,3686069504,319298,328490,EQUITY,NMS,Financial Services,Independent Bank Corp.,328490
PSMT,4396570112,206974,216290,EQUITY,NMS,Consumer Defensive,"PriceSmart, Inc.",216290
SLAB,6784240640,748598,600790,EQUITY,NMS,Technology,Silicon Laboratories Inc.,600790
BCPC,5320738304,164188,170660,EQUITY,NMS,Basic Materials,Balchem Corporation,170660
COLB,7805493760,2731066,2689080,EQUITY,NMS,Financial Services,"Columbia Banking System, Inc.",2689080
HOMB,5136084992,1336611,1440080,EQUITY,NYQ,Financial Services,"Home BancShares, Inc.",1440080
RNST,3294391296,708298,776120,EQUITY,NYQ,Financial Services,Renasant Corporation,776120
IBP,7356180480,324650,379940,EQUITY,NYQ,Consumer Cyclical,"Installed Building Products, Inc.",379940
LFUS,8373447680,264983,364860,EQUITY,NMS,Technology,"Littelfuse, Inc.",364860
FULT,3501205504,1884606,2202550,EQUITY,NMS,Financial Services,Fulton Financial Corporation,2202550
WDFC,2918765824,171610,150490,EQUITY,NMS,Basic Materials,WD-40 Company,150490
CBRL,628287296,1438664,1268020,EQUITY,NMS,Consumer Cyclical,"Cracker Barrel Old Country Store, Inc.",1268020
CVCO,3672036352,200664,162460,EQUITY,NMS,Consumer Cyclical,"Cavco Industries, Inc.",162460
TCBK,1516343296,145730,173550,EQUITY,NMS,Financial Services,TriCo Bancshares,173550
FRME,2320174592,387952,450500,EQUITY,NMS,Financial Services,First Merchants Corporation,450500
SXI,3133661696,151864,170140,EQUITY,NYQ,Industrials,Standex International Corporation,170140
NMIH,2863330304,457547,469420,EQUITY,NGM,Financial Services,"NMI Holdings, Inc.",469420
FHI,4327114752,648194,796570,EQUITY,NYQ,Financial Services,"Federated Hermes, Inc.",796570
NSIT,2282272256,404986,396320,EQUITY,NMS,Technology,"Insight Enterprises, Inc.",396320
OMCL,1517559808,644727,678920,EQUITY,NMS,Healthcare,"Omnicell, Inc.",678920
HLI,9696786432,543305,641480,EQUITY,NYQ,Financial Services,"Houlihan Lokey, Inc.",641480
IPAR,2880367104,247988,231850,EQUITY,NMS,Consumer Defensive,"Interparfums, Inc.",231850
