,Original (Discrete Switch),"Original sleeves, no liquidation","Original sleeves, continuous blend",Final (Beta Slider),CONTROL: static 50/50 blend,CONTROL: placebo signal,Momentum sleeve only,Min-vol sleeve only,"Buy & Hold (traded universe, 41)","Buy & Hold (large caps only, 29)",Buy & Hold (cached market series)
Terminal_Wealth,0.5405169267219985,0.5712631773540724,0.5233588433878541,3.11715091411159,2.571712064028944,2.9332008718154534,2.9342481491901267,2.2561223353372295,3.2901703307280523,3.3217533644343464,2.3064892433175146
Ann_Return,-0.08422965900719415,-0.076954968618824,-0.08844492781003588,0.1765676337518569,0.14464208798989286,0.1663768630109479,0.16643641373082185,0.12340842569510313,0.1856928718191515,0.18731402063238978,0.12696144538872156
Ann_Volatility,0.1403833701849085,0.14126191546735534,0.1301481063525063,0.1686548056877397,0.15619254106023264,0.17091544554839605,0.17773891430149835,0.14333981143744806,0.17247760974309823,0.16328702152743232,0.18430928419618142
Sharpe,-0.553952537999799,-0.4936545195717917,-0.6435799778361055,1.051026148130936,0.9456670162280564,0.9884334956057108,0.9574706480106471,0.8863087339837293,1.0763291019046972,1.1358149282863095,0.7430059639052432
Sortino,-0.7894213415935647,-0.7079478517234247,-0.9297798827551794,1.4264635369153917,1.261152197078327,1.3177155678467283,1.300518707015018,1.1851267597891595,1.4354490452213857,1.512359840316626,0.9845814095209029
Calmar,-0.14158595697208556,-0.13457007276175764,-0.15077206277662908,1.0652278523392873,0.9907744647595562,0.9580056783845875,0.8941697007827658,0.8402023734117405,0.9311220509739001,1.079642257358149,0.5201948036449799
Max_Drawdown,-0.5949012233169457,-0.5718579698999257,-0.5866135024037462,-0.16575574264614523,-0.14598891385941704,-0.17367001758433898,-0.1861351526283228,-0.14687940620066176,-0.19942914210325857,-0.17349637748594737,-0.24406519346042832
Skewness,0.1822685417038088,0.21384077122867493,0.1864375882365587,-0.331634542893661,-0.3183031345193272,-0.2990997502086806,-0.2813487661569437,-0.3112650554871847,-0.30023738058092664,-0.3121577131670816,-0.3861768949697365
Excess_Kurtosis,5.026055803817522,5.018938468132379,3.880349493259397,2.661375958327841,3.2907147818225524,3.349097060115238,2.884465424763038,3.940408855030286,3.789931987121268,3.425606202073872,4.1133906681151835
Hit_Rate,0.4727582292849035,0.4750283768444949,0.47446083995459704,0.5499432463110102,0.5499432463110102,0.554483541430193,0.5527809307604994,0.5380249716231555,0.5595913734392736,0.5539160045402951,0.5465380249716232
