ticker,marketCap,averageVolume,averageVolume10days,quoteType,exchange,sector,longName,avg_vol_used
AAPL,3709609443328,48098727,38369060,EQUITY,NMS,Technology,Apple Inc.,38369060
MSFT,2961616928768,34170686,32102960,EQUITY,NMS,Technology,Microsoft Corporation,32102960
NVDA,4479897829376,175916749,177061650,EQUITY,NMS,Technology,NVIDIA Corporation,177061650
AMZN,2251112841216,49163918,46048910,EQUITY,NMS,Consumer Cyclical,"Amazon.com, Inc.",46048910
GOOGL,3686052921344,33571644,28641970,EQUITY,NMS,Communication Services,Alphabet Inc.,28641970
META,1578594336768,15092138,12223880,EQUITY,NMS,Communication Services,"Meta Platforms, Inc.",12223880
BRK-B,1061387108352,4882776,5798140,EQUITY,NYQ,Financial Services,Berkshire Hathaway Inc.,5798140
JPM,769571225600,10897844,10670920,EQUITY,NYQ,Financial Services,JPMorgan Chase & Co.,10670920
LLY,882416877568,3063845,2453860,EQUITY,NYQ,Healthcare,Eli Lilly and Company,2453860
AVGO,1555232456704,29321572,31941370,EQUITY,NMS,Technology,Broadcom Inc.,31941370
XOM,654973599744,20371730,22645820,EQUITY,NYQ,Energy,Exxon Mobil Corporation,22645820
UNH,259867574272,9068783,7375030,EQUITY,NYQ,Healthcare,UnitedHealth Group Incorporated,7375030
V,594048057344,7740294,6447060,EQUITY,NYQ,Financial Services,Visa Inc.,6447060
MA,448490110976,3764838,3262440,EQUITY,NYQ,Financial Services,Mastercard Incorporated,3262440
COST,444295413760,2444738,1957600,EQUITY,NMS,Consumer Defensive,Costco Wholesale Corporation,1957600
PG,354143633408,10928111,9114880,EQUITY,NYQ,Consumer Defensive,The Procter & Gamble Company,9114880
JNJ,585846489088,8802722,7366110,EQUITY,NYQ,Healthcare,Johnson & Johnson,7366110
HD,341674459136,4212291,3957850,EQUITY,NYQ,Consumer Cyclical,"The Home Depot, Inc.",3957850
ABBV,392613068800,6811545,6794080,EQUITY,NYQ,Healthcare,AbbVie Inc.,6794080
BAC,343984046080,41408244,47113960,EQUITY,NYQ,Financial Services,Bank of America Corporation,47113960
KO,335267397632,17962642,17446970,EQUITY,NYQ,Consumer Defensive,The Coca-Cola Company,17446970
PEP,216586665984,8164433,6086810,EQUITY,NMS,Consumer Defensive,"PepsiCo, Inc.",6086810
MRK,284733014016,12594913,9515430,EQUITY,NYQ,Healthcare,"Merck & Co., Inc.",9515430
WMT,1001629286400,30955072,19344680,EQUITY,NMS,Consumer Defensive,Walmart Inc.,19344680
CVX,393382821888,11612791,14702620,EQUITY,NYQ,Energy,Chevron Corporation,14702620
ADBE,103979655168,5408189,6711780,EQUITY,NMS,Technology,Adobe Inc.,6711780
NFLX,403021922304,49136342,47387950,EQUITY,NMS,Communication Services,"Netflix, Inc.",47387950
CRM,185244893184,11650937,13618620,EQUITY,NYQ,Technology,"Salesforce, Inc.",13618620
AMD,323489824768,36509189,33020930,EQUITY,NMS,Technology,"Advanced Micro Devices, Inc.",33020930
TMO,174601322496,2300238,2209970,EQUITY,NYQ,Healthcare,Thermo Fisher Scientific Inc.,2209970
CROX,4092770816,1316198,1321640,EQUITY,NMS,Consumer Cyclical,"Crocs, Inc.",1321640
AAON,6676441600,972523,985400,EQUITY,NMS,Industrials,"AAON, Inc.",985400
UFPI,5091562496,366123,287390,EQUITY,NMS,Basic Materials,"UFP Industries, Inc.",287390
FIVE,11622424576,1017498,923000,EQUITY,NMS,Consumer Cyclical,"Five Below, Inc.",923000
MTH,4506029056,973249,914260,EQUITY,NYQ,Consumer Cyclical,Meritage Homes Corporation,914260
SIGI,4633409536,542657,515980,EQUITY,NMS,Financial Services,"Selective Insurance Group, Inc.",515980
GBCI,5694486016,1092654,1307050,EQUITY,NYQ,Financial Services,"Glacier Bancorp, Inc.",1307050
BANF,3591337984,125711,137630,EQUITY,NMS,Financial Services,BancFirst Corporation,137630
INDB,3746057984,333708,310260,EQUITY,NMS,Financial Services,Independent Bank Corp.,310260
PSMT,4630158336,216006,202840,EQUITY,NMS,Consumer Defensive,"PriceSmart, Inc.",202840
SLAB,6744266240,744250,774850,EQUITY,NMS,Technology,Silicon Laboratories Inc.,774850
BCPC,5477164032,168666,166210,EQUITY,NMS,Basic Materials,Balchem Corporation,166210
